Source,Target,Type,Id,Weight
c1,a1,Undirected,0,7
c1,a2,Undirected,1,9
c1,a3,Undirected,2,10
c1,a4,Undirected,3,8
c1,a5,Undirected,4,9
c1,a6,Undirected,5,6
c1,a7,Undirected,6,1
c1,a8,Undirected,7,8
c1,a9,Undirected,8,6
c1,a10,Undirected,9,4
c1,a11,Undirected,10,2
c1,a12,Undirected,11,4
c1,a13,Undirected,12,8
c1,a14,Undirected,13,7
c1,a15,Undirected,14,6
c1,a16,Undirected,15,5
c1,a17,Undirected,16,2
c1,a18,Undirected,17,1
c1,a19,Undirected,18,2
c1,a20,Undirected,19,7
c1,a21,Undirected,20,2
c1,a22,Undirected,21,3
c1,a23,Undirected,22,3
c1,a24,Undirected,23,1
c1,a25,Undirected,24,6
c1,a26,Undirected,25,7
c1,a27,Undirected,26,6
c1,a28,Undirected,27,3
c2,a1,Undirected,28,2
c2,a2,Undirected,29,9
c2,a3,Undirected,30,9
c2,a4,Undirected,31,6
c2,a5,Undirected,32,8
c2,a6,Undirected,33,5
c2,a7,Undirected,34,4
c2,a8,Undirected,35,7
c2,a9,Undirected,36,4
c2,a12,Undirected,37,4
c2,a13,Undirected,38,7
c2,a14,Undirected,39,5
c2,a15,Undirected,40,4
c2,a16,Undirected,41,4
c2,a17,Undirected,42,1
c2,a18,Undirected,43,1
c2,a20,Undirected,44,5
c2,a21,Undirected,45,1
c2,a22,Undirected,46,3
c2,a25,Undirected,47,5
c2,a26,Undirected,48,7
c2,a28,Undirected,49,3
c2,a30,Undirected,50,1
c3,a1,Undirected,51,8
c3,a2,Undirected,52,9
c3,a3,Undirected,53,9
c3,a4,Undirected,54,7
c3,a5,Undirected,55,9
c3,a6,Undirected,56,1
c3,a8,Undirected,57,8
c3,a9,Undirected,58,2
c3,a10,Undirected,59,1
c3,a11,Undirected,60,1
c3,a13,Undirected,61,7
c3,a14,Undirected,62,5
c3,a15,Undirected,63,4
c3,a16,Undirected,64,2
c3,a17,Undirected,65,1
c3,a18,Undirected,66,1
c3,a19,Undirected,67,2
c3,a20,Undirected,68,4
c3,a22,Undirected,69,3
c3,a26,Undirected,70,7
c3,a27,Undirected,71,3
c3,a28,Undirected,72,2
c3,a30,Undirected,73,1
c4,a1,Undirected,74,5
c4,a2,Undirected,75,9
c4,a3,Undirected,76,9
c4,a4,Undirected,77,8
c4,a5,Undirected,78,9
c4,a6,Undirected,79,1
c4,a7,Undirected,80,1
c4,a8,Undirected,81,8
c4,a9,Undirected,82,5
c4,a10,Undirected,83,1
c4,a11,Undirected,84,1
c4,a12,Undirected,85,2
c4,a13,Undirected,86,8
c4,a14,Undirected,87,6
c4,a15,Undirected,88,5
c4,a16,Undirected,89,6
c4,a17,Undirected,90,1
c4,a18,Undirected,91,1
c4,a19,Undirected,92,1
c4,a20,Undirected,93,6
c4,a25,Undirected,94,4
c4,a26,Undirected,95,7
c4,a27,Undirected,96,4
c4,a30,Undirected,97,2
c5,a1,Undirected,98,6
c5,a2,Undirected,99,8
c5,a3,Undirected,100,9
c5,a4,Undirected,101,8
c5,a5,Undirected,102,9
c5,a6,Undirected,103,1
c5,a8,Undirected,104,7
c5,a9,Undirected,105,3
c5,a10,Undirected,106,5
c5,a11,Undirected,107,1
c5,a12,Undirected,108,3
c5,a13,Undirected,109,8
c5,a14,Undirected,110,5
c5,a15,Undirected,111,5
c5,a16,Undirected,112,6
c5,a17,Undirected,113,1
c5,a18,Undirected,114,1
c5,a19,Undirected,115,3
c5,a20,Undirected,116,5
c5,a21,Undirected,117,1
c5,a22,Undirected,118,2
c5,a25,Undirected,119,3
c5,a26,Undirected,120,6
c5,a27,Undirected,121,3
c5,a28,Undirected,122,4
